"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 07 06:43:25 UTC 2022","Wed Sep 07 06:43:25 UTC 2022","659","","SignUp page: Checkboxes","","SignUp page: Checkboxes","Checkbox: Terms And Conditions Checkbox Uncheked Error","Checkbox: Terms And Conditions Checkbox Uncheked Error",""
"skipped","Wed Sep 07 06:42:58 UTC 2022","Wed Sep 07 06:42:58 UTC 2022","0","","Log In: Valid Credentials","","Log In: Valid Credentials","Valid Credential: With ""Remember my email address"" checkbox","Valid Credential: With ""Remember my email address"" checkbox",""
"passed","Wed Sep 07 06:43:24 UTC 2022","Wed Sep 07 06:43:25 UTC 2022","672","","SignUp page: Promo Code","","SignUp page: Promo Code","Promo Code: Promo Code Only","Promo Code: Promo Code Only",""
"passed","Wed Sep 07 06:43:23 UTC 2022","Wed Sep 07 06:43:24 UTC 2022","427","","Invalid Credentials: Password Requirements","","Invalid Credentials: Password Requirements","Password Requirements: Contain at least one upper-case letter","Password Requirements: Contain at least one upper-case letter",""
"passed","Wed Sep 07 06:42:48 UTC 2022","Wed Sep 07 06:42:57 UTC 2022","8729","","Log In: Invalid Values","","Log In: Invalid Values","Invalid Values: Invalid non Email value and Invalid non exist Password","Invalid Values: Invalid non Email value and Invalid non exist Password",""
"failed","Wed Sep 07 06:42:06 UTC 2022","Wed Sep 07 06:42:12 UTC 2022","5517","","Log In: Empty fields","","Log In: Empty fields","Empty fields: Without password","Empty fields: Without password",""
"passed","Wed Sep 07 06:43:00 UTC 2022","Wed Sep 07 06:43:05 UTC 2022","4669","","SignUp: Links Redirect","","SignUp: Links Redirect","Links Redirect: Terms and Conditions","Links Redirect: Terms and Conditions",""
"failed","Wed Sep 07 06:42:01 UTC 2022","Wed Sep 07 06:42:06 UTC 2022","5407","","Log In: Empty fields","","Log In: Empty fields","Empty fields: Empty Credentials","Empty fields: Empty Credentials",""
"passed","Wed Sep 07 06:43:24 UTC 2022","Wed Sep 07 06:43:24 UTC 2022","402","","SignUp page: Promo Code","","SignUp page: Promo Code","Promo Code: Expand","Promo Code: Expand",""
"passed","Wed Sep 07 06:43:08 UTC 2022","Wed Sep 07 06:43:15 UTC 2022","7017","","SignUp: Links Redirect","","SignUp: Links Redirect","Links Redirect: Log in","Links Redirect: Log in",""
"passed","Wed Sep 07 06:43:21 UTC 2022","Wed Sep 07 06:43:21 UTC 2022","600","","Invalid Credentials: Empty fields","","Invalid Credentials: Empty fields","Empty fields: Password only","Empty fields: Password only",""
"passed","Wed Sep 07 06:43:19 UTC 2022","Wed Sep 07 06:43:19 UTC 2022","389","","Invalid Credentials: Empty fields","","Invalid Credentials: Empty fields","Empty fields: Empty credentials","Empty fields: Empty credentials",""
"failed","Wed Sep 07 06:42:12 UTC 2022","Wed Sep 07 06:42:18 UTC 2022","5872","","Log In: Empty fields","","Log In: Empty fields","Empty fields: Without email","Empty fields: Without email",""
