"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 07 06:41:55 UTC 2022","Wed Sep 07 06:41:55 UTC 2022","549","","LogIn: Links Redirect","","LogIn: Links Redirect","Links Redirect: Sign Up","Links Redirect: Sign Up",""
"passed","Wed Sep 07 06:43:31 UTC 2022","Wed Sep 07 06:43:34 UTC 2022","3031","","Sign In: Minimal Conditions","","Sign In: Minimal Conditions","Sign In: Valid Conditions + Promo Code","Sign In: Valid Conditions + Promo Code",""
"passed","Wed Sep 07 06:42:42 UTC 2022","Wed Sep 07 06:42:48 UTC 2022","6161","","Log In: Invalid Values","","Log In: Invalid Values","Invalid Values: Invalid non exist Email and non exist Password","Invalid Values: Invalid non exist Email and non exist Password",""
"skipped","Wed Sep 07 06:42:58 UTC 2022","Wed Sep 07 06:42:58 UTC 2022","0","","Log In: Valid Credentials","","Log In: Valid Credentials","Valid Credential: Without ""Remember my email address"" checkbox","Valid Credential: Without ""Remember my email address"" checkbox",""
"passed","Wed Sep 07 06:41:55 UTC 2022","Wed Sep 07 06:42:00 UTC 2022","4383","","LogIn: Links Redirect","","LogIn: Links Redirect","Links Redirect: Resend Email","Links Redirect: Resend Email",""
"passed","Wed Sep 07 06:43:28 UTC 2022","Wed Sep 07 06:43:31 UTC 2022","3727","","Sign In: Minimal Conditions","","Sign In: Minimal Conditions","Sign In: Valid Conditions","Sign In: Valid Conditions",""
"passed","Wed Sep 07 06:43:19 UTC 2022","Wed Sep 07 06:43:20 UTC 2022","696","","Invalid Credentials: Empty fields","","Invalid Credentials: Empty fields","Empty fields: Email only","Empty fields: Email only",""
"passed","Wed Sep 07 06:43:05 UTC 2022","Wed Sep 07 06:43:08 UTC 2022","3365","","SignUp: Links Redirect","","SignUp: Links Redirect","Links Redirect: Privacy Policy","Links Redirect: Privacy Policy",""
"passed","Wed Sep 07 06:43:34 UTC 2022","Wed Sep 07 06:43:37 UTC 2022","2677","","Sign In: Minimal Conditions","","Sign In: Minimal Conditions","Sign In: Valid Conditions + Receive Emails Checkbox","Sign In: Valid Conditions + Receive Emails Checkbox",""
"passed","Wed Sep 07 06:43:22 UTC 2022","Wed Sep 07 06:43:23 UTC 2022","421","","Invalid Credentials: Password Requirements","","Invalid Credentials: Password Requirements","Password Requirements: Contain at least one number","Password Requirements: Contain at least one number",""
"passed","Wed Sep 07 06:43:25 UTC 2022","Wed Sep 07 06:43:26 UTC 2022","682","","SignUp page: Checkboxes","","SignUp page: Checkboxes","Checkbox: Terms And Conditions Checkbox Only","Checkbox: Terms And Conditions Checkbox Only",""
"passed","Wed Sep 07 06:43:26 UTC 2022","Wed Sep 07 06:43:27 UTC 2022","543","","SignUp page: Checkboxes","","SignUp page: Checkboxes","Checkbox: Recieve Emails Checkbox Only","Checkbox: Recieve Emails Checkbox Only",""
"passed","Wed Sep 07 06:43:20 UTC 2022","Wed Sep 07 06:43:21 UTC 2022","535","","Invalid Credentials: Empty fields","","Invalid Credentials: Empty fields","Empty fields: Name only","Empty fields: Name only",""
"passed","Wed Sep 07 06:43:23 UTC 2022","Wed Sep 07 06:43:23 UTC 2022","476","","Invalid Credentials: Password Requirements","","Invalid Credentials: Password Requirements","Password Requirements: Contain at least one symbol","Password Requirements: Contain at least one symbol",""
"passed","Wed Sep 07 06:43:37 UTC 2022","Wed Sep 07 06:43:40 UTC 2022","2865","","Sign In: Minimal Conditions","","Sign In: Minimal Conditions","Sign In: Valid Conditions + Promo Code + Receive Emails Checkbox","Sign In: Valid Conditions + Promo Code + Receive Emails Checkbox",""
"skipped","Wed Sep 07 06:42:59 UTC 2022","Wed Sep 07 06:42:59 UTC 2022","0","","Home Page: Network Page","","Home Page: Network Page","Network Page: Delete Network","Network Page: Delete Network",""
"passed","Wed Sep 07 06:42:33 UTC 2022","Wed Sep 07 06:42:42 UTC 2022","8918","","Log In: Invalid Values","","Log In: Invalid Values","Invalid Values: Invalid non exist Password","Invalid Values: Invalid non exist Password",""
"passed","Wed Sep 07 06:42:27 UTC 2022","Wed Sep 07 06:42:33 UTC 2022","6476","","Log In: Invalid Values","","Log In: Invalid Values","Invalid Values: Invalid non exist Email","Invalid Values: Invalid non exist Email",""
"passed","Wed Sep 07 06:43:22 UTC 2022","Wed Sep 07 06:43:22 UTC 2022","616","","Invalid Credentials: Password Requirements","","Invalid Credentials: Password Requirements","Password Requirements: Be at least 12 characters long","Password Requirements: Be at least 12 characters long",""
"skipped","Wed Sep 07 06:42:59 UTC 2022","Wed Sep 07 06:42:59 UTC 2022","0","","Home Page: Network Page","","Home Page: Network Page","Network Page: Create first Network","Network Page: Create first Network",""
"passed","Wed Sep 07 06:42:18 UTC 2022","Wed Sep 07 06:42:27 UTC 2022","9045","","Log In: Invalid Values","","Log In: Invalid Values","Invalid Values: Invalid non Email value","Invalid Values: Invalid non Email value",""
"passed","Wed Sep 07 06:43:21 UTC 2022","Wed Sep 07 06:43:22 UTC 2022","491","","Invalid Credentials: Invalid Values","","Invalid Credentials: Invalid Values","Invalid Values: Invalid Work Email","Invalid Values: Invalid Work Email",""
"passed","Wed Sep 07 06:41:48 UTC 2022","Wed Sep 07 06:41:55 UTC 2022","7124","","LogIn: Links Redirect","","LogIn: Links Redirect","Links Redirect: Password Reset","Links Redirect: Password Reset",""
